1.4932,6.9036,2.3864,-25.541,-0.39186,49.97,-10.853,11.336,16.094
1.4933,6.9048,2.3867,-25.545,-0.39183,49.964,-10.893,11.373,16.089
1.4937,6.9075,2.3874,-25.556,-0.39166,49.95,-11.008,11.476,16.083
1.4943,6.9098,2.3882,-25.571,-0.39139,49.931,-11.194,11.636,16.077
1.4953,6.9104,2.3889,-25.59,-0.39102,49.909,-11.445,11.844,16.071
1.4964,6.9092,2.3895,-25.611,-0.39049,49.886,-11.76,12.095,16.065
1.4975,6.9069,2.3901,-25.636,-0.38976,49.86,-12.139,12.386,16.059
1.4985,6.9048,2.3907,-25.664,-0.38884,49.831,-12.582,12.712,16.052
1.4992,6.904,2.3913,-25.698,-0.38776,49.798,-13.087,13.071,16.046
1.4997,6.9047,2.3918,-25.736,-0.38657,49.763,-13.651,13.459,16.04
1.5001,6.9062,2.3923,-25.779,-0.38533,49.726,-14.271,13.873,16.033
1.5006,6.9077,2.3926,-25.826,-0.38406,49.691,-14.942,14.307,16.027
1.5012,6.9084,2.3928,-25.874,-0.38276,49.66,-15.659,14.758,16.021
1.5017,6.908,2.393,-25.926,-0.38141,49.634,-16.42,15.224,16.014
1.5023,6.9071,2.393,-25.979,-0.37997,49.614,-17.224,15.702,16.008
1.5028,6.9062,2.3932,-26.036,-0.37843,49.598,-18.068,16.193,16.002
1.5031,6.9058,2.3933,-26.097,-0.37682,49.588,-18.951,16.693,15.995
1.5034,6.9063,2.3935,-26.161,-0.37517,49.584,-19.87,17.202,15.988
1.5036,6.9072,2.3936,-26.229,-0.3735,49.587,-20.82,17.718,15.982
1.5038,6.9083,2.3938,-26.299,-0.37184,49.601,-21.799,18.238,15.975
1.504,6.9089,2.3939,-26.373,-0.37018,49.625,-22.802,18.761,15.969
1.5043,6.909,2.3939,-26.449,-0.36852,49.661,-23.826,19.285,15.962
1.5046,6.9088,2.394,-26.527,-0.36682,49.71,-24.869,19.81,15.955
1.5048,6.9085,2.3941,-26.609,-0.3651,49.772,-25.93,20.334,15.948
1.5049,6.9084,2.3942,-26.694,-0.36334,49.848,-27.005,20.857,15.941
1.5049,6.9088,2.3943,-26.782,-0.36157,49.936,-28.093,21.378,15.934
1.5049,6.9095,2.3945,-26.874,-0.35981,50.04,-29.19,21.896,15.927
1.5049,6.9103,2.3946,-26.97,-0.35808,50.159,-30.293,22.409,15.92
1.5049,6.9108,2.3947,-27.069,-0.35638,50.295,-31.399,22.917,15.913
1.5048,6.9111,2.3948,-27.171,-0.35469,50.448,-32.507,23.419,15.906
1.5048,6.9112,2.3949,-27.277,-0.353,50.618,-33.613,23.915,15.898
1.5047,6.9112,2.395,-27.387,-0.3513,50.806,-34.717,24.403,15.891
1.5045,6.9114,2.3951,-27.502,-0.3496,51.012,-35.815,24.883,15.883
1.5043,6.9117,2.3951,-27.621,-0.3479,51.236,-36.907,25.355,15.876
1.504,6.9122,2.3952,-27.745,-0.34621,51.477,-37.991,25.818,15.868
1.5037,6.9127,2.3953,-27.875,-0.34454,51.737,-39.063,26.273,15.86
1.5034,6.9132,2.3954,-28.01,-0.34289,52.015,-40.123,26.717,15.851
1.5031,6.9135,2.3954,-28.15,-0.34125,52.312,-41.168,27.151,15.843
1.5027,6.9137,2.3955,-28.297,-0.33961,52.628,-42.197,27.574,15.835
1.5023,6.9138,2.3955,-28.451,-0.33794,52.962,-43.209,27.987,15.826
1.5019,6.914,2.3955,-28.612,-0.33624,53.313,-44.202,28.389,15.817
1.5014,6.9142,2.3956,-28.782,-0.33451,53.683,-45.175,28.781,15.808
1.5009,6.9145,2.3956,-28.959,-0.33274,54.069,-46.127,29.161,15.799
1.5004,6.9148,2.3956,-29.146,-0.33093,54.472,-47.055,29.53,15.79
1.4999,6.915,2.3956,-29.343,-0.32907,54.892,-47.96,29.887,15.78
1.4993,6.9152,2.3956,-29.551,-0.32714,55.328,-48.84,30.234,15.77
1.4988,6.9153,2.3955,-29.769,-0.32512,55.78,-49.693,30.569,15.76
1.4982,6.9153,2.3954,-30,-0.32298,56.246,-50.52,30.892,15.75
1.4977,6.9152,2.3954,-30.244,-0.32069,56.727,-51.318,31.205,15.74
1.4971,6.9152,2.3953,-30.502,-0.31824,57.221,-52.088,31.506,15.729
1.4965,6.9151,2.3952,-30.774,-0.31561,57.728,-52.828,31.796,15.718
1.4959,6.9151,2.395,-31.062,-0.31276,58.247,-53.538,32.075,15.707
1.4954,6.915,2.3949,-31.368,-0.30969,58.777,-54.216,32.343,15.696
1.4948,6.9148,2.3947,-31.69,-0.30637,59.318,-54.864,32.6,15.684
1.4943,6.9146,2.3945,-32.031,-0.30276,59.868,-55.478,32.845,15.672
1.4938,6.9143,2.3942,-32.391,-0.29883,60.427,-56.061,33.079,15.66
1.4933,6.9139,2.394,-32.77,-0.29455,60.995,-56.61,33.301,15.647
1.4928,6.9136,2.3937,-33.171,-0.28989,61.569,-57.125,33.511,15.635
1.4923,6.9132,2.3934,-33.592,-0.28485,62.149,-57.607,33.709,15.622
1.4919,6.9128,2.393,-34.034,-0.2794,62.735,-58.054,33.893,15.608
