-0.0088222,0.0048885,0.0019009,-0.3597,-0.93299,0.011718
-0.03378,0.020822,0.0079077,-0.42065,-0.90671,-0.030561
-0.071343,0.050847,0.016221,-0.50608,-0.85854,-0.082435
-0.11649,0.096717,0.023797,-0.60023,-0.78894,-0.13151
-0.16366,0.15703,0.028276,-0.69192,-0.70134,-0.17138
-0.20835,0.22713,0.029393,-0.77384,-0.60071,-0.20078
-0.24928,0.30039,0.028816,-0.83943,-0.49611,-0.22189
-0.28998,0.3709,0.028506,-0.88296,-0.40412,-0.23889
-0.33691,0.43607,0.028663,-0.90213,-0.34706,-0.25634
-0.39455,0.49576,0.025927,-0.89583,-0.34755,-0.27694
