-6.2322,-9.5428,-0.50596,-63.2,74.247,33.433,-118.84,-0.60946,-1.3945,-10.043,-10.475,-2.8816,-3.0233
9.4786,1.7085,-3.8102,11.919,41.227,76.034,-55.182,1.0168,0.47235,-11.247,-11.939,-0.25666,-0.96965
2.1451,-8.5847,4.2477,-19.371,-17.46,54.027,-51.455,-0.30327,-0.58046,-11.02,-11.905,-1.3763,-1.7631
-8.3019,-5.7104,-2.512,-65.068,54.361,60.498,-71.147,-0.77163,-1.6427,-8.3814,-8.7514,-4.9408,-5.3699
1.0697,2.6115,4.8546,-20.229,42.055,79.102,-74.209,-1.3401,-2.2278,-9.9329,-10.321,-1.2253,-2.0679
-3.2916,9.1428,-0.60077,-23.83,56.431,51.453,-27.659,2.4316,2.0201,-11.241,-12.027,-0.82265,-1.2117
-8.3675,-4.5104,3.6752,-28.471,25.755,21.636,-100.62,-2.0841,-2.5493,-9.7848,-10.386,0.63322,0.22966
3.0784,3.1546,-3.3898,-42.439,30.61,15.04,-62.448,0.27115,-0.35585,-11.521,-12.232,-0.25099,-0.64412
-3.1516,5.5429,-1.1606,-11.729,27.712,57.502,-121.88,-2.54,-3.1214,-7.8462,-8.1571,-0.48741,-1.31
0.34509,8.0614,-2.8181,6.0541,-20.077,25.848,-2.8509,0.15701,-0.49325,-1.928,-2.2905,-4.7465,-5.3503
6.1656,-6.4158,-3.3461,-70.024,52.972,-4.3484,-38.754,2.372,1.9613,-11.239,-12.083,0.72206,0.14907
5.3667,0.023002,4.0946,-83.636,22.41,38.671,-73.459,-1.6966,-2.458,-6.0528,-6.2472,-1.3014,-1.8348
6.4763,-7.478,-1.9988,-89.767,84.133,61.956,-97.67,-1.5674,-2.0264,-11.282,-12.116,-2.498,-2.6321
-7.2227,-3.0136,-3.4866,-35.361,67.038,45.944,-89.492,-0.58848,-1.4729,-10.495,-10.895,-2.3749,-2.6569
2.7914,4.5864,3.5985,-21.035,-8.329,38.797,-21.264,1.9896,1.4125,-8.2802,-9.0469,-5.2287,-5.5392
8.121,-8.4531,-1.6147,-26.132,27.028,66.638,-69.001,-2.4845,-3.1346,-10.258,-10.734,-0.74937,-1.503
-5.4538,4.1897,-3.5137,-17.607,46.078,-2.4832,-23.69,5.2369,4.7766,-6.772,-7.3963,-0.12291,-0.8064
-6.6729,-7.0079,-2.9725,15.045,-28.091,84.902,-3.34,0.89433,0.41988,-8.1436,-9.0187,-1.9014,-2
9.4222,-4.0481,0.25073,4.8573,77.569,-7.3187,-85.894,-0.30785,-0.73973,-11.105,-11.994,0.54254,0.21486
8.8246,9.5141,-3.9206,-70.321,59.586,-24.064,-9.267,5.2044,5.0591,-8.8831,-9.7017,2.4655,1.7238
-0.21749,6.9979,4.9704,-89.517,35.113,73.362,-118.19,-1.0554,-1.4283,-3.7576,-4.4803,-2.9839,-3.8321
6.907,7.5775,2.4618,-77.076,31.083,-9.7402,-108.04,-1.3188,-2.1802,-8.9053,-9.2148,-0.26513,-0.63004
8.5602,-6.6103,3.8374,-47.335,15.908,2.5744,-112.82,-1.9925,-2.4135,-9.053,-9.5786,1.9197,1.4363
4.83,-1.0425,2.0964,13.876,-9.1059,-0.64845,-83.321,1.3483,0.89578,-10.463,-11.336,0.73777,0.34555
